Benchmarks	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.dcache.overall_accesses::total	system.l2.overall_miss_rate::total	system.l2.overall_accesses::total
sjeng_CL128_L2Size4_Assoc08_L1DSize128_Assoc08	6.795158	0.060918	86380775	0.999952	2632330
sjeng_CL128_L2Size4_Assoc08_L1DSize128_Assoc16	6.795293	0.060918	86380775	0.999952	2632329
sjeng_CL128_L2Size4_Assoc16_L1DSize064_Assoc02	6.795293	0.060922	86380772	0.999825	2632665
sjeng_CL128_L2Size4_Assoc16_L1DSize064_Assoc04	6.795158	0.060918	86380774	0.999949	2632338
sjeng_CL128_L2Size4_Assoc16_L1DSize064_Assoc08	6.794691	0.060918	86380774	0.999949	2632338
sjeng_CL128_L2Size4_Assoc16_L1DSize064_Assoc16	6.794981	0.060918	86380774	0.999948	2632339
sjeng_CL128_L2Size4_Assoc16_L1DSize128_Assoc02	6.794708	0.060921	86380775	0.999856	2632582
sjeng_CL128_L2Size4_Assoc16_L1DSize128_Assoc04	6.794691	0.060918	86380775	0.999952	2632329
sjeng_CL128_L2Size4_Assoc16_L1DSize128_Assoc08	6.795158	0.060918	86380775	0.999952	2632330
sjeng_CL128_L2Size4_Assoc16_L1DSize128_Assoc16	6.795293	0.060918	86380775	0.999952	2632329
